id_jugador;nombre_jugador;id_equipo;estado;score_temporada;score_reciente;evolucion
6503;Nahuel Molina;530;Estable;4.14;4.31;0.17
324750;Carlos Martín;728;Estable;4.41;4.41;0.0
2813;Marko Dmitrović;540;Rendimiento Bajo;4.63;4.32;-0.3
286601;Omar El Hilali;540;Estable;4.71;4.87;0.16
47478;Fernando Calero;540;Estable;4.65;4.61;-0.04
47249;Leandro Cabrera;540;Estable;4.62;4.57;-0.05
184420;Carlos Romero;540;Rendimiento Alto;5.17;5.59;0.42
127426;Pol Lozano;540;Estable;4.47;4.58;0.1
46799;Edu Expósito;540;Estable;5.37;5.3;-0.06
182674;Jofre Carreras;540;Estable;4.41;4.57;0.16
187987;Ramón Terrats;540;Estable;4.46;4.64;0.18
47349;Javi Puado;540;Estable;4.56;4.47;-0.08
312990;Roberto Fernández;540;Estable;4.47;4.34;-0.13
273732;Tyrhys Dolan;540;Estable;4.81;4.78;-0.03
47396;Kike García;540;Estable;4.47;4.48;0.0
47256;Miguel Rubio;540;Pocos minutos;4.53;0.0;0.0
47398;Pere Milla;540;Rendimiento Bajo;4.78;4.24;-0.54
184407;Jose Salinas;540;Pocos minutos;4.61;0.0;0.0
199824;Rubén Sánchez;540;Estable;4.3;4.15;-0.14
297742;Antoniu Roca;540;Pocos minutos;4.21;0.0;0.0
158;Paulo Gazzaniga;547;Rendimiento Bajo;4.49;4.04;-0.45
283668;Arnau Martínez;547;Estable;4.9;4.94;0.04
47334;David López;547;Estable;4.16;4.16;0.0
66407;Ladislav Krejčí;547;Pocos minutos;3.66;0.0;0.0
531;Daley Blind;547;Estable;4.78;4.99;0.2
2449;Yangel Herrera;548;Estable;4.37;4.37;0.0
306727;Jhon Solís;547;Pocos minutos;4.13;0.0;0.0
339105;Joel Roca;547;Rendimiento Bajo;4.61;4.12;-0.49
2182;Viktor Tsygankov;547;Estable;5.08;5.3;0.22
109564;Bojan Miovski;547;Pocos minutos;3.9;0.0;0.0
281795;Yáser Asprilla;547;Pocos minutos;4.58;0.0;0.0
432476;Vladyslav Krapyvtsov;547;Pocos minutos;4.0;0.0;0.0
47520;Portu;547;Estable;4.06;4.23;0.17
414359;Vitor Reis;547;Estable;4.81;5.01;0.2
313025;Hugo Rincón;547;Rendimiento Alto;4.38;4.81;0.42
45;Thomas Lemar;547;Estable;4.44;4.2;-0.24
162434;Alejandro Francés;547;Estable;4.37;4.66;0.29
1700;Iván Martín;547;Estable;5.03;5.11;0.08
11379;Augusto Batalla;728;Estable;4.46;4.19;-0.27
1703;Andrei Rațiu;728;Estable;4.84;5.1;0.26
18895;Florian Lejeune;728;Estable;4.68;4.72;0.04
1847;Luiz Felipe;728;Pocos minutos;4.27;0.0;0.0
181734;Josep Chavarría;728;Rendimiento Bajo;4.82;4.37;-0.46
41552;Pathé Ismaël Ciss;728;Estable;4.91;5.1;0.19
47285;Unai López;728;Estable;4.9;4.9;0.01
131546;Isi Palazón;728;Rendimiento Alto;4.79;5.45;0.66
46887;Pedro Díaz;728;Estable;4.41;4.56;0.16
47543;Álvaro García;728;Estable;4.57;4.56;-0.01
128582;Jorge de Frutos;728;Estable;4.91;4.68;-0.22
333292;Pelayo Fernández;728;Pocos minutos;4.14;0.0;0.0
47414;Gerard Gumbau;728;Estable;4.49;4.48;-0.01
47109;Óscar Valentín;728;Estable;4.61;4.68;0.06
122657;Randy Nteka;728;Pocos minutos;4.26;0.0;0.0
46759;Alfonso Espino;728;Estable;4.11;4.32;0.21
314006;Jozhua Vertrouwd;728;Pocos minutos;3.99;0.0;0.0
20520;Iván Balliu;728;Estable;4.41;4.25;-0.17
162931;Fran Pérez;728;Rendimiento Bajo;4.28;3.9;-0.38
52;Sergio Camello;728;Estable;4.01;4.24;0.23
182718;Joan García;529;Estable;4.82;4.89;0.08
619;Eric García;529;Estable;4.9;4.94;0.04
101814;Ronald Araújo;529;Estable;4.76;4.95;0.2
396623;Pau Cubarsí;529;Estable;4.87;4.97;0.1
161928;Alejandro Balde;529;Estable;4.61;4.55;-0.06
538;Frenkie de Jong;529;Estable;5.3;5.24;-0.06
133609;Pedri;529;Estable;6.13;6.04;-0.09
386828;Lamine Yamal;529;Estable;6.94;7.18;0.24
340626;Fermín López;529;Estable;5.26;5.19;-0.07
1496;Raphinha;529;Rendimiento Alto;5.78;6.13;0.35
931;Ferran Torres;529;Estable;4.76;4.61;-0.16
1323;Dani Olmo;529;Rendimiento Alto;5.43;6.08;0.64
491250;Jofre Torrents;529;Pocos minutos;4.1;0.0;0.0
296667;Pablo Gavi;529;Pocos minutos;5.05;0.0;0.0
909;Marcus Rashford;529;Rendimiento Bajo;4.81;4.45;-0.35
1257;Jules Koundé;529;Estable;4.83;4.9;0.07
126;Iñaki Peña;797;Estable;4.78;4.77;-0.01
2282;Andreas Christensen;529;Pocos minutos;4.46;0.0;0.0
445973;Toni Fernández;529;Pocos minutos;3.9;0.0;0.0
491087;Dro Fernández;529;Pocos minutos;4.51;0.0;0.0
329728;Marc Casadó;529;Pocos minutos;4.63;0.0;0.0
179139;Leo Román;798;Estable;4.64;4.71;0.06
108519;Mateu Morey;798;Pocos minutos;4.1;0.0;0.0
46738;Martin Valjent;798;Estable;4.4;4.24;-0.15
46733;Antonio Raíllo;798;Estable;4.72;4.58;-0.15
64268;Johan Mojica;798;Estable;4.71;4.48;-0.23
1701;Manu Morlanes;798;Estable;4.7;4.96;0.26
107194;Antonio Sánchez;798;Estable;4.22;4.37;0.15
