id_partido;id_equipo;id_jugador;nombre_jugador;probabilidad
1391065;546;403554;Christantus Uche;0.378
1391065;536;25458;Dodi Lukebakio;0.438
1391065;536;57446;Akor Adams;0.435
1391065;536;48471;Ruben Vargas;0.356
1391066;727;46746;Ante Budimir;0.551
1391066;727;338751;Victor Muñoz;0.338
1391066;727;46658;Rubén García;0.331
1391066;541;278;Kylian Mbappé;0.72
1391066;541;129718;Jude Bellingham;0.404
1391066;541;762;Vinícius Júnior;0.381
1391063;543;47582;Cucho Hernández;0.445
1391063;543;47119;Aitor Ruibal;0.38
1391063;543;181421;Abdessamad Ezzalzouli;0.378
1391063;728;128582;Jorge de Frutos;0.394
1391063;728;131546;Isi Palazón;0.33
1391063;728;47543;Álvaro García;0.316
1391059;542;608;Lucas Boyé;0.421
1391059;542;187214;Carlos Vicente;0.381
1391059;542;47181;Toni Martínez;0.346
1391059;547;2617;Cristhian Stuani;0.452
1391059;547;161670;Vladyslav Vanat;0.438
1391059;547;2182;Viktor Tsygankov;0.411
1391064;538;47348;Borja Iglesias;0.49
1391064;538;269163;Williot Swedberg;0.373
1391064;538;47445;Iago Aspas;0.351
1391064;798;50048;Vedat Muriqi;0.582
1391064;798;190485;Samú Costa;0.321
1391064;798;1701;Manu Morlanes;0.3
1391068;533;1707;Gerard Moreno;0.469
1391068;533;182519;Alberto Moleiro;0.465
1391068;533;180496;Georges Mikautadze;0.397
1391068;532;47264;Hugo Duro;0.454
1391068;532;47463;Pepelu;0.374
1391068;532;916;Mouctar Diakhaby;0.308
1391060;531;30510;Álex Berenguer;0.376
1391060;531;183799;Nico Williams;0.357
1391060;531;84086;Robert Navarro;0.354
1391060;797;47013;Rafa Mir;0.401
1391060;797;161963;Germán Valera;0.373
1391060;797;343202;Álvaro Rodriguez;0.35
1391061;530;8492;Alexander Sørloth;0.454
1391061;530;56;Antoine Griezmann;0.443
1391061;530;50;Koke;0.374
1391061;540;47398;Pere Milla;0.371
1391061;540;47349;Javi Puado;0.35
1391061;540;184420;Carlos Romero;0.348
1391062;529;931;Ferran Torres;0.53
1391062;529;1496;Raphinha;0.504
1391062;529;1323;Dani Olmo;0.459
1391062;539;47467;José Luis Morales;0.342
1391062;539;734;Adrián de la Fuente;0.332
1391062;539;378284;Etta Eyong;0.332
1391071;797;47013;Rafa Mir;0.426
1391071;797;161963;Germán Valera;0.373
1391071;797;343202;Álvaro Rodriguez;0.373
1391071;540;184420;Carlos Romero;0.371
1391071;540;47349;Javi Puado;0.35
1391071;540;47398;Pere Milla;0.348
1391075;728;128582;Jorge de Frutos;0.394
1391075;728;41552;Pathé Ismaël Ciss;0.323
1391075;728;47543;Álvaro García;0.316
1391075;531;183799;Nico Williams;0.404
1391075;531;47294;Iñaki Williams;0.37
1391075;531;84086;Robert Navarro;0.354
1391077;718;51530;Federico Viñas;0.345
1391077;718;182486;Alberto Reina;0.308
1391077;718;266202;Ilyas Chaira;0.299
1391077;530;8492;Alexander Sørloth;0.454
1391077;530;56;Antoine Griezmann;0.371
1391077;530;6009;Julián Alvarez;0.332
1391072;547;161670;Vladyslav Vanat;0.463
1391072;547;2617;Cristhian Stuani;0.452
1391072;547;2182;Viktor Tsygankov;0.411
1391072;538;47348;Borja Iglesias;0.49
1391072;538;269163;Williot Swedberg;0.373
1391072;538;47445;Iago Aspas;0.351
1391074;798;50048;Vedat Muriqi;0.557
1391074;798;190485;Samú Costa;0.321
1391074;798;47336;Sergi Darder;0.31
1391074;548;47323;Mikel Oyarzabal;0.475
1391074;548;925;Gonçalo Guedes;0.405
1391074;548;47440;Brais Méndez;0.383
1391076;541;278;Kylian Mbappé;0.72
1391076;541;129718;Jude Bellingham;0.38
1391076;541;336711;Gonzalo García;0.361
1391076;546;6490;Luis Vázquez;0.646
1391076;546;47472;Borja Mayoral;0.383
1391076;546;403554;Christantus Uche;0.378
1391073;539;47467;José Luis Morales;0.342
1391073;539;734;Adrián de la Fuente;0.332
1391073;539;378284;Etta Eyong;0.332
1391073;542;608;Lucas Boyé;0.421
1391073;542;47181;Toni Martínez;0.369
1391073;542;187214;Carlos Vicente;0.358
1391078;532;47264;Hugo Duro;0.429
1391078;532;83;Arnaut Danjuma;0.338
1391078;532;31406;Umar Sadiq;0.332
1391078;727;46746;Ante Budimir;0.551
1391078;727;46658;Rubén García;0.353
1391078;727;338751;Victor Muñoz;0.338
1391069;529;1496;Raphinha;0.578
1391069;529;931;Ferran Torres;0.53
1391069;529;386828;Lamine Yamal;0.481
1391069;533;1707;Gerard Moreno;0.469
1391069;533;182519;Alberto Moleiro;0.44
1391069;533;180496;Georges Mikautadze;0.397
1391070;543;47582;Cucho Hernández;0.445
1391070;543;1697;Pablo Fornals;0.405
1391070;543;181421;Abdessamad Ezzalzouli;0.401
1391070;536;25458;Dodi Lukebakio;0.463
1391070;536;57446;Akor Adams;0.435
