id_partido;id_jugador;id_equipo;posicion;minutos;nota;capitan;sustituto;goles;penaltis_marcados;asistencias;paradas;goles_concedidos;tiros_totales;tiros_a_puerta;pases_totales;pases_clave;precision_pases;regates_intentados;regates;regateado;duelos_totales;duelos_ganados;faltas_cometidas;faltas_recibidas;entradas;bloqueos;intercepciones;amarilla;roja;penaltis_parados
1390974;2741;539;P;90;7.3;False;False;0;0;0;4;1;1;0;30;0;24;0;0;0;1;0;0;0;0;0;0;0;0;0
1390974;1118;539;DF;90;6.6;False;False;0;0;0;0;0;0;0;67;1;57;1;0;1;6;3;1;0;3;0;0;1;0;0
1390974;734;539;DF;90;8.7;True;False;0;0;0;0;0;1;0;95;0;84;0;0;0;7;5;1;2;1;2;2;0;0;0
1390974;421807;539;DF;65;7.2;False;False;0;0;0;0;0;0;0;43;0;38;0;0;1;12;8;1;4;2;1;0;0;0;0
1390974;104832;539;DF;90;6.7;False;False;0;0;0;0;0;1;0;57;1;48;1;1;2;12;4;3;1;1;0;1;0;0;0
1390974;182603;539;M;90;7.0;False;False;0;0;0;0;0;2;1;30;3;18;5;1;2;18;9;1;2;3;0;0;0;0;0
1390974;334878;539;M;65;7.0;False;False;0;0;0;0;0;0;0;32;0;30;3;3;0;5;5;0;1;0;0;0;0;0;0
1390974;128985;539;M;74;6.5;False;False;0;0;0;0;0;0;0;16;0;13;0;0;1;7;3;1;1;2;0;0;1;0;0
1390974;46790;539;DL;65;6.7;False;False;0;0;0;0;0;0;0;28;1;24;7;2;0;10;4;1;0;1;0;0;0;0;0
1390974;450497;539;DL;90;6.6;False;False;0;0;0;0;0;3;2;13;0;10;4;1;0;22;11;3;3;2;0;0;1;0;0
1390974;463279;539;DL;89;6.9;False;False;0;0;0;0;0;1;1;29;1;24;7;3;2;13;5;0;2;0;0;0;0;0;0
1390974;316517;539;DF;25;6.9;False;True;0;0;0;0;0;0;0;14;0;11;0;0;0;6;3;1;0;0;0;0;0;0;0
1390974;182639;539;M;25;7.0;False;True;0;0;0;0;0;0;0;20;1;15;0;0;0;4;4;0;0;1;0;0;0;0;0
1390974;378284;539;DL;25;6.5;False;True;0;0;0;0;0;0;0;3;0;1;0;0;1;4;2;0;2;0;0;0;0;0;0
1390974;182770;539;M;16;6.9;False;True;0;0;0;0;0;1;0;7;1;7;0;0;0;1;1;0;1;0;0;0;0;0;0
1390974;579287;539;DL;1;0.0;False;True;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
1390974;286611;539;P;0;0.0;False;True;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1390974;338295;539;P;0;0.0;False;True;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1390974;504605;539;DF;0;0.0;False;True;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1390974;64309;539;DF;0;0.0;False;True;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1390974;328139;539;DL;0;0.0;False;True;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1390974;47467;539;DL;0;0.0;False;True;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1390974;192032;539;DL;0;0.0;False;True;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1391029;47270;531;P;90;8.2;False;False;0;0;0;4;1;0;0;45;1;27;0;0;0;0;0;0;0;0;0;0;0;0;0
1391029;182181;531;DF;79;7.2;False;False;0;0;0;0;0;0;0;21;1;17;1;0;0;6;5;1;1;3;1;2;1;0;0
1391029;183849;531;DF;90;6.7;False;False;0;0;0;0;0;2;1;49;1;43;0;0;1;5;1;2;0;1;0;0;1;0;0
1391029;47273;531;DF;90;6.5;True;False;0;0;1;0;0;0;0;56;2;53;1;0;0;9;3;2;0;0;0;1;1;0;0
1391029;336998;531;DF;90;6.5;False;False;0;0;0;0;0;0;0;37;0;32;1;0;0;7;3;0;0;0;0;5;0;0;0
1391029;383780;531;M;90;7.0;False;False;0;0;0;0;0;1;0;48;2;37;0;0;3;14;6;3;0;2;0;2;0;0;0
1391029;332309;531;M;45;6.9;False;False;0;0;0;0;0;0;0;20;1;17;1;1;0;8;5;1;0;2;0;1;0;0;0
1391029;30510;531;M;72;6.0;False;False;0;0;0;0;0;3;1;18;0;15;5;0;1;16;4;1;2;0;0;1;0;0;0
1391029;332308;531;M;62;6.7;False;False;0;0;0;0;0;1;0;14;1;10;0;0;0;5;2;0;0;0;0;0;0;0;0
1391029;183799;531;M;72;6.7;False;False;0;0;0;0;0;0;0;25;1;14;5;2;0;11;6;0;2;1;0;0;0;0;0
1391029;47291;531;DL;90;6.7;False;False;0;0;0;0;0;1;1;17;0;11;3;2;0;17;9;1;4;1;0;0;0;0;0
1391029;47007;531;M;45;9.0;False;True;1;0;0;0;0;1;1;41;2;33;2;2;0;10;8;0;2;2;0;0;0;0;0
1391029;84086;531;M;28;6.5;False;True;0;0;0;0;0;0;0;16;0;13;3;0;0;9;1;1;0;1;0;0;0;0;0
1391029;47294;531;DL;18;6.2;False;True;0;0;0;0;0;0;0;5;0;4;1;0;0;4;0;1;0;0;0;0;0;0;0
1391029;183776;531;DL;18;6.2;False;True;0;0;0;0;0;1;0;4;0;3;0;0;0;2;0;1;0;0;0;0;1;0;0
1391029;47299;531;DF;11;6.9;False;True;0;0;0;0;0;0;0;5;0;4;0;0;0;2;1;0;1;0;0;0;0;0;0
1391029;312468;531;P;0;0.0;False;True;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1391029;407677;531;DF;0;0.0;False;True;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1391029;47418;531;M;0;0.0;False;True;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1391029;568156;531;M;0;0.0;False;True;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1391029;286593;531;DL;0;0.0;False;True;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1391029;560954;531;DL;0;0.0;False;True;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1391029;47269;548;P;90;6.6;False;False;0;0;0;3;1;0;0;44;0;21;0;0;0;1;1;0;1;0;0;0;0;0;0
1391029;199044;548;DF;90;7.2;False;False;0;0;0;0;0;0;0;29;0;16;0;0;2;23;16;2;3;9;0;2;0;0;0
1391029;405073;548;DF;90;6.9;False;False;0;0;0;0;0;1;1;30;0;29;0;0;1;6;2;1;0;0;1;2;1;0;0
1391029;47314;548;DF;90;7.3;False;False;0;0;0;0;0;0;0;44;0;36;0;0;0;13;9;4;0;4;2;0;1;0;0
1391029;23;548;DF;90;7.5;False;False;0;0;1;0;0;1;0;46;2;38;1;1;0;9;7;1;2;3;0;2;0;0;0
1391029;925;548;M;77;8.3;False;False;1;0;0;0;0;3;3;14;1;12;1;1;2;12;7;1;3;3;0;0;0;0;0
1391029;287654;548;M;63;6.6;False;False;0;0;0;0;0;0;0;31;1;25;0;0;0;5;3;0;0;1;0;2;0;0;0
1391029;930;548;M;90;7.5;False;False;0;0;0;0;0;0;0;40;2;37;0;0;1;6;4;1;1;2;3;2;0;0;0
1391029;290106;548;M;85;6.6;False;False;0;0;0;0;0;1;1;14;0;11;1;1;0;7;3;1;1;1;0;0;0;0;0
