id_tiempo;anio;mes;nombre_mes;dia;nombre_dia;jornada
20190119;2019;1;Enero;19;Sábado;20
20190120;2019;1;Enero;20;Domingo;20
20190121;2019;1;Enero;21;Lunes;20
20190126;2019;1;Enero;26;Sábado;21
20190127;2019;1;Enero;27;Domingo;21
20190128;2019;1;Enero;28;Lunes;21
20190201;2019;2;Febrero;1;Viernes;22
20190202;2019;2;Febrero;2;Sábado;22
20190203;2019;2;Febrero;3;Domingo;22
20190204;2019;2;Febrero;4;Lunes;22
20190208;2019;2;Febrero;8;Viernes;23
20190209;2019;2;Febrero;9;Sábado;23
20190210;2019;2;Febrero;10;Domingo;23
20190211;2019;2;Febrero;11;Lunes;23
20190215;2019;2;Febrero;15;Viernes;24
20190216;2019;2;Febrero;16;Sábado;24
20190217;2019;2;Febrero;17;Domingo;24
20190218;2019;2;Febrero;18;Lunes;24
20190222;2019;2;Febrero;22;Viernes;25
20190223;2019;2;Febrero;23;Sábado;25
20190224;2019;2;Febrero;24;Domingo;25
20190225;2019;2;Febrero;25;Lunes;25
20190301;2019;3;Marzo;1;Viernes;26
20190302;2019;3;Marzo;2;Sábado;26
20190303;2019;3;Marzo;3;Domingo;26
20190304;2019;3;Marzo;4;Lunes;26
20190308;2019;3;Marzo;8;Viernes;27
20190309;2019;3;Marzo;9;Sábado;27
20190310;2019;3;Marzo;10;Domingo;27
20190315;2019;3;Marzo;15;Viernes;28
20190316;2019;3;Marzo;16;Sábado;28
20190317;2019;3;Marzo;17;Domingo;28
20190329;2019;3;Marzo;29;Viernes;29
20190330;2019;3;Marzo;30;Sábado;29
20190331;2019;3;Marzo;31;Domingo;29
20190402;2019;4;Abril;2;Martes;30
20190403;2019;4;Abril;3;Miércoles;30
20190404;2019;4;Abril;4;Jueves;30
20190406;2019;4;Abril;6;Sábado;31
20190407;2019;4;Abril;7;Domingo;31
20190413;2019;4;Abril;13;Sábado;32
20190414;2019;4;Abril;14;Domingo;32
20190415;2019;4;Abril;15;Lunes;32
20190419;2019;4;Abril;19;Viernes;33
20190420;2019;4;Abril;20;Sábado;33
20190421;2019;4;Abril;21;Domingo;33
20190423;2019;4;Abril;23;Martes;34
20190424;2019;4;Abril;24;Miércoles;34
20190425;2019;4;Abril;25;Jueves;34
20190427;2019;4;Abril;27;Sábado;35
20190428;2019;4;Abril;28;Domingo;35
20190429;2019;4;Abril;29;Lunes;35
20190503;2019;5;Mayo;3;Viernes;36
20190504;2019;5;Mayo;4;Sábado;36
20190505;2019;5;Mayo;5;Domingo;36
20190512;2019;5;Mayo;12;Domingo;37
20190518;2019;5;Mayo;18;Sábado;38
20190519;2019;5;Mayo;19;Domingo;38
20190816;2019;8;Agosto;16;Viernes;1
20190817;2019;8;Agosto;17;Sábado;1
20190818;2019;8;Agosto;18;Domingo;1
20190823;2019;8;Agosto;23;Viernes;2
20190824;2019;8;Agosto;24;Sábado;2
20190825;2019;8;Agosto;25;Domingo;2
20190830;2019;8;Agosto;30;Viernes;3
20190831;2019;8;Agosto;31;Sábado;3
20190901;2019;9;Septiembre;1;Domingo;3
20190913;2019;9;Septiembre;13;Viernes;4
20190914;2019;9;Septiembre;14;Sábado;4
20190915;2019;9;Septiembre;15;Domingo;4
20190920;2019;9;Septiembre;20;Viernes;5
20190921;2019;9;Septiembre;21;Sábado;5
20190922;2019;9;Septiembre;22;Domingo;5
20190924;2019;9;Septiembre;24;Martes;6
20190925;2019;9;Septiembre;25;Miércoles;6
20190926;2019;9;Septiembre;26;Jueves;6
20190927;2019;9;Septiembre;27;Viernes;7
20190928;2019;9;Septiembre;28;Sábado;7
20190929;2019;9;Septiembre;29;Domingo;7
20191004;2019;10;Octubre;4;Viernes;8
20191005;2019;10;Octubre;5;Sábado;8
20191006;2019;10;Octubre;6;Domingo;8
20191018;2019;10;Octubre;18;Viernes;9
20191019;2019;10;Octubre;19;Sábado;9
20191020;2019;10;Octubre;20;Domingo;9
20191025;2019;10;Octubre;25;Viernes;10
20191026;2019;10;Octubre;26;Sábado;10
20191027;2019;10;Octubre;27;Domingo;10
20191029;2019;10;Octubre;29;Martes;11
20191030;2019;10;Octubre;30;Miércoles;11
20191031;2019;10;Octubre;31;Jueves;11
20191102;2019;11;Noviembre;2;Sábado;12
20191103;2019;11;Noviembre;3;Domingo;12
20191108;2019;11;Noviembre;8;Viernes;13
20191109;2019;11;Noviembre;9;Sábado;13
20191110;2019;11;Noviembre;10;Domingo;13
20191122;2019;11;Noviembre;22;Viernes;14
20191123;2019;11;Noviembre;23;Sábado;14
20191124;2019;11;Noviembre;24;Domingo;14
20191129;2019;11;Noviembre;29;Viernes;15
20191130;2019;11;Noviembre;30;Sábado;15
20191201;2019;12;Diciembre;1;Domingo;15
20191206;2019;12;Diciembre;6;Viernes;16
20191207;2019;12;Diciembre;7;Sábado;16
20191208;2019;12;Diciembre;8;Domingo;16
20191213;2019;12;Diciembre;13;Viernes;17
20191214;2019;12;Diciembre;14;Sábado;17
20191215;2019;12;Diciembre;15;Domingo;17
20191218;2019;12;Diciembre;18;Miércoles;10
20191220;2019;12;Diciembre;20;Viernes;18
20191221;2019;12;Diciembre;21;Sábado;18
20191222;2019;12;Diciembre;22;Domingo;18
20200103;2020;1;Enero;3;Viernes;19
20200104;2020;1;Enero;4;Sábado;19
20200105;2020;1;Enero;5;Domingo;19
20200117;2020;1;Enero;17;Viernes;20
20200118;2020;1;Enero;18;Sábado;20
20200119;2020;1;Enero;19;Domingo;20
20200124;2020;1;Enero;24;Viernes;21
20200125;2020;1;Enero;25;Sábado;21
20200126;2020;1;Enero;26;Domingo;21
20200201;2020;2;Febrero;1;Sábado;22
20200202;2020;2;Febrero;2;Domingo;22
20200207;2020;2;Febrero;7;Viernes;23
20200208;2020;2;Febrero;8;Sábado;23
20200209;2020;2;Febrero;9;Domingo;23
20200214;2020;2;Febrero;14;Viernes;24
20200215;2020;2;Febrero;15;Sábado;24
20200216;2020;2;Febrero;16;Domingo;24
20200221;2020;2;Febrero;21;Viernes;25
20200222;2020;2;Febrero;22;Sábado;25
20200223;2020;2;Febrero;23;Domingo;25
20200228;2020;2;Febrero;28;Viernes;26
20200229;2020;2;Febrero;29;Sábado;26
20200301;2020;3;Marzo;1;Domingo;26
20200306;2020;3;Marzo;6;Viernes;27
20200307;2020;3;Marzo;7;Sábado;27
20200308;2020;3;Marzo;8;Domingo;27
20200310;2020;3;Marzo;10;Martes;24
20200611;2020;6;Junio;11;Jueves;28
20200612;2020;6;Junio;12;Viernes;28
20200613;2020;6;Junio;13;Sábado;28
20200614;2020;6;Junio;14;Domingo;28
20200615;2020;6;Junio;15;Lunes;29
20200616;2020;6;Junio;16;Martes;29
20200617;2020;6;Junio;17;Miércoles;29
20200618;2020;6;Junio;18;Jueves;29
20200619;2020;6;Junio;19;Viernes;30
20200620;2020;6;Junio;20;Sábado;30
20200621;2020;6;Junio;21;Domingo;30
20200622;2020;6;Junio;22;Lunes;31
20200623;2020;6;Junio;23;Martes;31
20200624;2020;6;Junio;24;Miércoles;31
20200625;2020;6;Junio;25;Jueves;31
20200626;2020;6;Junio;26;Viernes;32
20200627;2020;6;Junio;27;Sábado;32
