id_jugador;nombre_jugador;id_equipo;posicion;estado;score_temporada;score_reciente;evolucion
462277;I. Salhi;798;Defensa;Pocos minutos;0.0;0.0;0.0
405074;J. Kalumba;798;Delantero;Pocos minutos;0.0;0.0;0.0
46733;Raíllo;798;Defensa;Rendimiento Bajo;7.64;5.6;-2.04
46738;M. Valjent;798;Defensa;Estable;5.36;5.28;-0.08
46742;Dani Rodríguez;798;Mediocentro;Pocos minutos;1.0;0.0;0.0
46751;Abdón Prats;798;Delantero;Pocos minutos;0.5;0.0;0.0
1701;Manu Morlanes;798;Mediocentro;Rendimiento Alto;0.87;23.37;22.5
26302;Pablo Maffeo;798;Defensa;Rendimiento Bajo;9.5;5.78;-3.72
313059;M. Joseph;798;Delantero;Estable;1.7;3.98;2.28
491248;Jan Virgili;798;Delantero;Estable;3.75;5.42;1.67
411424;Miquel Salas;798;Mediocentro;Pocos minutos;0.5;0.0;0.0
335697;David López;798;Defensa;Pocos minutos;5.4;0.0;0.0
108519;Mateu Morey;798;Defensa;Pocos minutos;3.66;0.0;0.0
